<INFO  17:08:49,064 SimpleNode::dump> tg=<pool-3-thread-3>         constraint eTicket[Eticket=unset]>
<INFO  17:08:49,064 SimpleNode::dump> tg=<pool-3-thread-3>        newRole a(traveler[],unset)>
<INFO  17:08:49,065 SimpleNode::dump> tg=<pool-3-thread-3>    THEN>
<INFO  17:08:49,065 SimpleNode::dump> tg=<pool-3-thread-3>     messageOut cancelReserve[Reserve=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,065 SimpleNode::dump> tg=<pool-3-thread-3>      constraint userMakesACancellation[Reserve=unset]>
<INFO  17:08:49,065 SimpleNode::dump> tg=<pool-3-thread-3>     THEN>
<INFO  17:08:49,066 SimpleNode::dump> tg=<pool-3-thread-3>      messageIn response[Confirmation=unset] => a(travelAgency[],unset)>
<INFO  17:08:49,066 SimpleNode::dump> tg=<pool-3-thread-3>       constraint cancellation[Confirmation=unset]>
<INFO  17:08:49,066 SimpleNode::dump> tg=<pool-3-thread-3>      newRole a(traveler[],unset)>
<INFO  17:08:49,066 SimpleNode::dump> tg=<pool-3-thread-3>  clause a(travelAgency[],unset)>
<INFO  17:08:49,067 SimpleNode::dump> tg=<pool-3-thread-3>   OR>
<INFO  17:08:49,067 SimpleNode::dump> tg=<pool-3-thread-3>    OR>
<INFO  17:08:49,067 SimpleNode::dump> tg=<pool-3-thread-3>     OR>
<INFO  17:08:49,067 SimpleNode::dump> tg=<pool-3-thread-3>      OR>
<INFO  17:08:49,068 SimpleNode::dump> tg=<pool-3-thread-3>       OR>
<INFO  17:08:49,068 SimpleNode::dump> tg=<pool-3-thread-3>        OR>
<INFO  17:08:49,068 SimpleNode::dump> tg=<pool-3-thread-3>         THEN>
<INFO  17:08:49,068 SimpleNode::dump> tg=<pool-3-thread-3>          messageIn orderTrip[Destination=unset, Date=unset, Name=unset, CcNumber=unset] => a(traveler[],unset)>
<INFO  17:08:49,069 SimpleNode::dump> tg=<pool-3-thread-3>           constraint registerUser[Name=unset, CcNumber=unset]>
<INFO  17:08:49,069 SimpleNode::dump> tg=<pool-3-thread-3>          THEN>
<INFO  17:08:49,069 SimpleNode::dump> tg=<pool-3-thread-3>           messageOut search[Destination=unset, Date=unset] => a(airline[],unset)>
<INFO  17:08:49,069 SimpleNode::dump> tg=<pool-3-thread-3>           newRole a(travelAgency[],unset)>
<INFO  17:08:49,070 SimpleNode::dump> tg=<pool-3-thread-3>         THEN>
<INFO  17:08:49,070 SimpleNode::dump> tg=<pool-3-thread-3>          messageIn response[FlightStatus=unset, FlightID=unset, FlightPrice=unset, AirlineName=unset] => a(airline[],unset)>
<INFO  17:08:49,070 SimpleNode::dump> tg=<pool-3-thread-3>           constraint searchResult[FlightStatus=unset, FlightID=unset, FlightPrice=unset, AirlineName=unset]>
<INFO  17:08:49,071 SimpleNode::dump> tg=<pool-3-thread-3>          THEN>
<INFO  17:08:49,071 SimpleNode::dump> tg=<pool-3-thread-3>           messageOut flights[FlightStatus=unset, FlightID=unset, FlightPrice=unset, AirlineName=unset] => a(traveler[],unset)>
<INFO  17:08:49,071 SimpleNode::dump> tg=<pool-3-thread-3>            constraint buildResponse[FlightStatus=unset, FlightID=unset, FlightPrice=unset, AirlineName=unset]>
<INFO  17:08:49,071 SimpleNode::dump> tg=<pool-3-thread-3>           newRole a(travelAgency[],unset)>
<INFO  17:08:49,072 SimpleNode::dump> tg=<pool-3-thread-3>        THEN>
<INFO  17:08:49,072 SimpleNode::dump> tg=<pool-3-thread-3>         messageIn reserveTicket[FlightID=unset] => a(traveler[],unset)>
<INFO  17:08:49,072 SimpleNode::dump> tg=<pool-3-thread-3>          constraint travelAgencyMakesAReservation[FlightID=unset, TravelAgencyID=unset]>
<INFO  17:08:49,072 SimpleNode::dump> tg=<pool-3-thread-3>         THEN>
<INFO  17:08:49,073 SimpleNode::dump> tg=<pool-3-thread-3>          messageOut reserve[FlightID=unset, TravelAgencyID=unset] => a(airline[],unset)>
<INFO  17:08:49,073 SimpleNode::dump> tg=<pool-3-thread-3>          THEN>
<INFO  17:08:49,073 SimpleNode::dump> tg=<pool-3-thread-3>           messageIn response[ReserveCost=unset] => a(airline[],unset)>
<INFO  17:08:49,073 SimpleNode::dump> tg=<pool-3-thread-3>            constraint travelAgencyRegisterReservation[ReserveCost=unset, Reserve=unset]>
<INFO  17:08:49,074 SimpleNode::dump> tg=<pool-3-thread-3>           THEN>
<INFO  17:08:49,074 SimpleNode::dump> tg=<pool-3-thread-3>            messageOut response[Reserve=unset] => a(traveler[],unset)>
<INFO  17:08:49,074 SimpleNode::dump> tg=<pool-3-thread-3>            newRole a(travelAgency[],unset)>
<INFO  17:08:49,074 SimpleNode::dump> tg=<pool-3-thread-3>       THEN>
<INFO  17:08:49,075 SimpleNode::dump> tg=<pool-3-thread-3>        messageIn cancelReserve[Reserve=unset] => a(traveler[],unset)>
<INFO  17:08:49,075 SimpleNode::dump> tg=<pool-3-thread-3>         constraint confirmCancellation[Reserve=unset]>
<INFO  17:08:49,075 SimpleNode::dump> tg=<pool-3-thread-3>        THEN>
<INFO  17:08:49,076 SimpleNode::dump> tg=<pool-3-thread-3>         messageOut cancel[Reserve=unset] => a(airline[],unset)>
<INFO  17:08:49,076 SimpleNode::dump> tg=<pool-3-thread-3>         THEN>
<INFO  17:08:49,076 SimpleNode::dump> tg=<pool-3-thread-3>          messageIn response[Confirmation=unset] => a(airline[],unset)>
<INFO  17:08:49,076 SimpleNode::dump> tg=<pool-3-thread-3>          THEN>
<INFO  17:08:49,077 SimpleNode::dump> tg=<pool-3-thread-3>           messageOut response[Confirmation=unset] => a(traveler[],unset)>
<INFO  17:08:49,082 SimpleNode::dump> tg=<pool-3-thread-3>           newRole a(travelAgency[],unset)>
<INFO  17:08:49,082 SimpleNode::dump> tg=<pool-3-thread-3>      THEN>
<INFO  17:08:49,083 SimpleNode::dump> tg=<pool-3-thread-3>       messageIn bookTicket[Reserve=unset] => a(traveler[],unset)>
<INFO  17:08:49,083 SimpleNode::dump> tg=<pool-3-thread-3>        constraint catchUserData[Reserve=unset, Name=unset, CcNumber=unset, TotalPrice=unset]>
<INFO  17:08:49,083 SimpleNode::dump> tg=<pool-3-thread-3>       THEN>
<INFO  17:08:49,083 SimpleNode::dump> tg=<pool-3-thread-3>        messageOut check[Reserve=unset, Name=unset, CcNumber=unset, TotalPrice=unset] => a(acquirer[],unset)>
<INFO  17:08:49,084 SimpleNode::dump> tg=<pool-3-thread-3>        newRole a(travelAgency[],unset)>
<INFO  17:08:49,084 SimpleNode::dump> tg=<pool-3-thread-3>     THEN>
<INFO  17:08:49,084 SimpleNode::dump> tg=<pool-3-thread-3>      messageIn approval[Status=unset, TravelAgencyPayment=unset] => a(acquirer[],unset)>
<INFO  17:08:49,084 SimpleNode::dump> tg=<pool-3-thread-3>       constraint registerPayment[Status=unset, TravelAgencyPayment=unset]>
<INFO  17:08:49,084 SimpleNode::dump> tg=<pool-3-thread-3>      THEN>
<INFO  17:08:49,085 SimpleNode::dump> tg=<pool-3-thread-3>       messageIn confirmation[Reserve=unset, Name=unset, AirlinePayment=unset] => a(airline[],unset)>
<INFO  17:08:49,085 SimpleNode::dump> tg=<pool-3-thread-3>        constraint emitStatement[Reserve=unset, Name=unset, AirlinePayment=unset, Statement=unset]>
<INFO  17:08:49,085 SimpleNode::dump> tg=<pool-3-thread-3>       THEN>
<INFO  17:08:49,085 SimpleNode::dump> tg=<pool-3-thread-3>        messageOut responseTA[Statement=unset] => a(traveler[],unset)>
<INFO  17:08:49,086 SimpleNode::dump> tg=<pool-3-thread-3>        newRole a(travelAgency[],unset)>
<INFO  17:08:49,086 SimpleNode::dump> tg=<pool-3-thread-3>    THEN>
<INFO  17:08:49,086 SimpleNode::dump> tg=<pool-3-thread-3>     messageIn notificationTA[Status=unset] => a(acquirer[],unset)>
<INFO  17:08:49,086 SimpleNode::dump> tg=<pool-3-thread-3>      constraint emitNotificationTA[Status=unset, Statement=unset]>
<INFO  17:08:49,087 SimpleNode::dump> tg=<pool-3-thread-3>     THEN>
<INFO  17:08:49,087 SimpleNode::dump> tg=<pool-3-thread-3>      messageOut responseTA[Statement=unset] => a(traveler[],unset)>
<INFO  17:08:49,087 SimpleNode::dump> tg=<pool-3-thread-3>      newRole a(travelAgency[],unset)>
<INFO  17:08:49,087 SimpleNode::dump> tg=<pool-3-thread-3>  clause a(airline[],unset)>
<INFO  17:08:49,087 SimpleNode::dump> tg=<pool-3-thread-3>   OR>
<INFO  17:08:49,088 SimpleNode::dump> tg=<pool-3-thread-3>    OR>
<INFO  17:08:49,088 SimpleNode::dump> tg=<pool-3-thread-3>     OR>
<INFO  17:08:49,088 SimpleNode::dump> tg=<pool-3-thread-3>      OR>
